Voltage(V),Current(A),Throttle(%),Temperature(C),Motor RPM
41.30,7.28,10.80,27.86,3928.32
41.30,5.14,8.80,28.46,3649.45
41.30,5.14,8.80,28.46,3728.25
41.30,7.28,8.80,28.46,3760.59
41.30,5.14,9.20,28.46,3831.79
41.30,5.14,8.80,28.46,3789.50
41.30,5.14,8.80,28.46,3794.44
40.95,3.00,8.80,28.46,3775.23
40.95,3.00,9.20,28.46,3867.67
40.95,5.14,8.80,28.46,3771.97
40.95,3.00,9.20,28.46,3805.31
40.95,3.00,8.80,28.46,3705.87
41.30,3.00,8.80,28.46,3693.33
41.30,3.00,8.80,28.46,3700.71
40.95,5.14,6.00,28.46,3496.44
40.95,5.14,13.60,29.07,4547.63
40.95,7.28,12.40,29.07,4487.53
40.95,7.28,12.40,29.07,4471.77
40.95,5.14,12.40,29.07,4481.28
40.95,5.14,12.40,29.68,4548.98
40.95,7.28,12.40,29.68,4671.71
40.95,7.28,12.40,29.68,4718.60
40.95,5.14,12.40,29.68,4687.12
40.95,5.14,12.40,29.68,4944.56
40.95,7.28,12.40,29.68,4932.20
40.95,7.28,12.40,29.68,4970.70
40.95,7.28,12.40,29.68,4921.87
40.95,7.28,12.40,29.68,4864.29
40.95,7.28,12.40,29.68,4986.11
40.95,7.28,12.40,29.68,4873.60
40.95,7.28,12.40,29.07,6025.11
40.95,5.14,12.40,29.07,5851.49
40.95,7.28,12.40,29.07,4827.41
40.95,7.28,12.40,29.07,4867.00
40.95,5.14,12.40,28.46,4844.25
40.95,7.28,12.40,28.46,5102.65
40.95,9.42,12.40,28.46,4614.23
40.95,9.42,12.40,28.46,4466.55
40.95,5.14,12.40,28.46,4643.67
40.95,5.14,12.40,27.86,4736.88
40.95,7.28,12.40,27.86,4773.13
40.95,5.14,12.40,27.86,4800.12
40.95,3.00,12.40,27.86,4859.65
40.95,3.00,12.40,27.86,4918.70
40.95,3.00,12.40,27.86,4964.64
40.95,3.00,12.40,27.25,4980.42
40.95,5.14,12.40,27.25,5021.33
40.60,13.70,40.80,27.25,13147.92
40.60,26.54,47.60,27.25,15770.04
40.25,32.96,48.40,27.25,15193.81
39.90,32.96,47.20,27.25,14543.11
39.90,32.96,48.40,27.25,14321.63
39.55,35.10,48.40,27.25,14123.08
39.55,39.38,48.40,26.64,14074.30
39.55,37.24,45.60,26.64,13425.15
39.55,30.82,39.20,26.64,12433.83
39.55,26.54,39.20,26.64,12264.18
39.55,24.40,36.80,26.03,11945.42
39.55,22.26,35.20,26.03,11714.20
39.90,22.26,34.00,25.42,11338.29
39.90,11.56,12.40,25.42,6902.85
39.90,3.00,12.40,25.42,6463.43
40.25,5.14,12.40,25.42,6035.22
40.25,5.14,12.40,25.42,6461.38
40.60,5.14,12.40,25.42,6560.56
40.60,5.14,12.40,25.42,6492.27
40.60,5.14,12.40,25.42,6429.44
40.60,5.14,12.40,25.42,5847.02
40.60,5.14,12.40,25.42,4848.09
40.60,5.14,12.40,25.42,4737.61
40.60,7.28,12.40,25.42,4773.50
40.60,13.70,20.00,26.64,5792.71
40.60,13.70,20.80,27.25,6232.13
40.60,11.56,20.80,27.86,6552.82
40.60,13.70,20.80,28.46,8223.42
40.60,13.70,20.80,28.46,8607.90
40.60,13.70,20.80,29.07,8633.43
40.60,13.70,20.80,29.07,9011.45
40.60,11.56,20.80,29.07,8990.25
40.60,13.70,20.40,29.07,8868.93
40.60,13.70,20.40,29.07,8920.71
40.60,11.56,20.40,28.46,8902.52
40.60,22.26,50.40,28.46,16127.89
40.25,32.96,49.60,28.46,15553.36
40.25,39.38,51.60,28.46,15525.70
